City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Sitka,US,2021-05-31 01:34:46,57.0531,-135.33,53.49,76,90,11.5
154,Bambanglipuro,ID,2021-05-31 01:34:46,-7.95,110.2833,67.6,75,99,5.64
155,Raudeberg,NO,2021-05-31 01:33:25,61.9875,5.1352,48.87,94,54,6.22
156,Provideniya,RU,2021-05-31 01:34:47,64.3833,-173.3,51.91,46,0,22.37
157,Apatity,RU,2021-05-31 01:34:47,67.5641,33.4031,43.57,75,98,5.75
158,Leningradskiy,RU,2021-05-31 01:34:48,69.3833,178.4167,40.41,78,24,4.68
159,Alice Springs,AU,2021-05-31 01:31:04,-23.7,133.8833,67.55,22,0,12.84
160,Uchaly,RU,2021-05-31 01:34:48,54.2996,59.4521,58.39,83,15,4.25
161,Hambantota,LK,2021-05-31 01:34:48,6.1241,81.1185,82.74,83,40,18.84
162,Taltal,CL,2021-05-31 01:30:20,-25.4,-70.4833,63.61,74,11,5.7
163,Souillac,MU,2021-05-31 01:34:49,-20.5167,57.5167,72.36,94,20,6.76
164,Oistins,BB,2021-05-31 01:34:49,13.0667,-59.5333,80.69,65,40,21.85
165,Saint-Philippe,RE,2021-05-31 01:34:49,-21.3585,55.7679,69.39,82,2,6.02
166,Chokurdakh,RU,2021-05-31 01:34:50,70.6333,147.9167,66.74,22,6,13.2
167,Victoria Point,AU,2021-05-31 01:34:50,-27.5833,153.3,71.35,65,87,4.0
168,Lavrentiya,RU,2021-05-31 01:33:35,65.5833,-171.0,38.8,69,93,12.33
169,Goksun,TR,2021-05-31 01:34:50,38.021,36.4973,50.95,85,3,2.13
170,Port Said,EG,2021-05-31 01:34:51,31.2565,32.2841,78.78,61,0,14.97
171,Quevedo,EC,2021-05-31 01:34:51,-1.0333,-79.45,75.96,85,100,2.59
172,Mahebourg,MU,2021-05-31 01:31:25,-20.4081,57.7,72.25,94,20,6.91
